periode_pengujian,nama_lokasi,parameter,satuan,nilai,indeks_pencemaran
Periode 2, Pisangan Baru ,Besi (Fe),(mg/L),0.13,2.70
Periode 2, Pisangan Baru ,Fluorida,(mg/L),0.08,2.70
Periode 2, Pisangan Baru ,Total Hardness,(mg/L),77.55,2.70
Periode 2, Pisangan Baru ,Chlorida,(mg/L),60.51,2.70
Periode 2, Pisangan Baru ,Mangan (Mn),(mg/L),0.59,2.70
Periode 2, Pisangan Baru ,Nitrat,(mg/L),0.12,2.70
Periode 2, Pisangan Baru ,Nitrit,(mg/L),0.003,2.70
Periode 2, Pisangan Baru ,Ph,(mg/L),7.5,2.70
Periode 2, Pisangan Baru ,Seng (Zn),(mg/L),0.01,2.70
Periode 2, Pisangan Baru ,Sulfat,(mg/L),15.7,2.70
Periode 2, Pisangan Baru ,Senyawa Aktif Biru Metilen,(mg/L),0.45,2.70
Periode 2, Pisangan Baru ,Organik (KMnO4),(mg/L),4.84,2.70
Periode 2, Pisangan Baru ,Suhu,(Celcius),23.2,2.70
Periode 2, Pisangan Baru ,Bakteri Koli,(Jlm/100mL),0,2.70
Periode 2, Utan Kayu Selatan ,Zat Padat Terlarut,(mg/L),3420,4.98
Periode 2, Utan Kayu Selatan ,Kekeruhan,NTU,1.15,4.98
Periode 2, Utan Kayu Selatan ,Besi (Fe),(mg/L),0.08,4.98
Periode 2, Utan Kayu Selatan ,Fluorida,(mg/L),0.65,4.98
Periode 2, Utan Kayu Selatan ,Total Hardness,(mg/L),120.82,4.98
Periode 2, Utan Kayu Selatan ,Chlorida,(mg/L),1416.88,4.98
Periode 2, Utan Kayu Selatan ,Mangan (Mn),(mg/L),0.3,4.98
Periode 2, Utan Kayu Selatan ,Nitrat,(mg/L),0,4.98
Periode 2, Utan Kayu Selatan ,Nitrit,(mg/L),0.003,4.98
Periode 2, Utan Kayu Selatan ,Ph,(mg/L),8.4,4.98
Periode 2, Utan Kayu Selatan ,Seng (Zn),(mg/L),0.02,4.98
Periode 2, Utan Kayu Selatan ,Sulfat,(mg/L),231.52,4.98
Periode 2, Utan Kayu Selatan ,Senyawa Aktif Biru Metilen,(mg/L),0.1,4.98
Periode 2, Utan Kayu Selatan ,Organik (KMnO4),(mg/L),6.8,4.98
Periode 2, Utan Kayu Selatan ,Suhu,(Celcius),23.5,4.98
Periode 2, Utan Kayu Selatan ,Bakteri Koli,(Jlm/100mL),0,4.98
Periode 2, Utan Kayu Utara ,Zat Padat Terlarut,(mg/L),470,0.90
Periode 2, Utan Kayu Utara ,Kekeruhan,NTU,0.02,0.90
Periode 2, Utan Kayu Utara ,Besi (Fe),(mg/L),0.12,0.90
Periode 2, Utan Kayu Utara ,Fluorida,(mg/L),0.3,0.90
Periode 2, Utan Kayu Utara ,Total Hardness,(mg/L),28.37,0.90
Periode 2, Utan Kayu Utara ,Chlorida,(mg/L),99.38,0.90
Periode 2, Utan Kayu Utara ,Mangan (Mn),(mg/L),0.09,0.90
Periode 2, Utan Kayu Utara ,Nitrat,(mg/L),0,0.90
Periode 2, Utan Kayu Utara ,Nitrit,(mg/L),0.003,0.90
Periode 2, Utan Kayu Utara ,Ph,(mg/L),8,0.90
Periode 2, Utan Kayu Utara ,Seng (Zn),(mg/L),0.07,0.90
Periode 2, Utan Kayu Utara ,Sulfat,(mg/L),61.3,0.90
Periode 2, Utan Kayu Utara ,Senyawa Aktif Biru Metilen,(mg/L),0.03,0.90
Periode 2, Utan Kayu Utara ,Organik (KMnO4),(mg/L),0.13,0.90
Periode 2, Utan Kayu Utara ,Suhu,(Celcius),23.6,0.90
Periode 2, Utan Kayu Utara ,Bakteri Koli,(Jlm/100mL),300,0.90
Periode 2, Cipinang ,Zat Padat Terlarut,(mg/L),5210,20.5
Periode 2, Cipinang ,Kekeruhan,NTU,2.6,20.5
Periode 2, Cipinang ,Besi (Fe),(mg/L),0.08,20.5
Periode 2, Cipinang ,Fluorida,(mg/L),0.63,20.5
Periode 2, Cipinang ,Total Hardness,(mg/L),840.48,20.5
Periode 2, Cipinang ,Chlorida,(mg/L),3320.37,20.5
Periode 2, Cipinang ,Mangan (Mn),(mg/L),6.77,20.5
Periode 2, Cipinang ,Nitrat,(mg/L),2.72,20.5
Periode 2, Cipinang ,Nitrit,(mg/L),0.06,20.5
Periode 2, Cipinang ,Ph,(mg/L),7.8,20.5
Periode 2, Cipinang ,Seng (Zn),(mg/L),0.06,20.5
Periode 2, Cipinang ,Sulfat,(mg/L),38.61,20.5
Periode 2, Cipinang ,Senyawa Aktif Biru Metilen,(mg/L),0.05,20.5
Periode 2, Cipinang ,Organik (KMnO4),(mg/L),28.03,20.5
Periode 2, Cipinang ,Suhu,(Celcius),23.7,20.5
Periode 2, Cipinang ,Bakteri Koli,(Jlm/100mL),1.46 x 104,20.5
Periode 2, Jati ,Zat Padat Terlarut,(mg/L),403,3.86
Periode 2, Jati ,Kekeruhan,NTU,2.1,3.86
Periode 2, Jati ,Besi (Fe),(mg/L),0.08,3.86
Periode 2, Jati ,Fluorida,(mg/L),0.85,3.86
Periode 2, Jati ,Total Hardness,(mg/L),68.59,3.86
Periode 2, Jati ,Chlorida,(mg/L),54.68,3.86
Periode 2, Jati ,Mangan (Mn),(mg/L),0.05,3.86
Periode 2, Jati ,Nitrat,(mg/L),0.25,3.86
Periode 2, Jati ,Nitrit,(mg/L),0.003,3.86
Periode 2, Jati ,Ph,(mg/L),8.1,3.86
Periode 2, Jati ,Seng (Zn),(mg/L),0.01,3.86
Periode 2, Jati ,Sulfat,(mg/L),17.61,3.86
Periode 2, Jati ,Senyawa Aktif Biru Metilen,(mg/L),0.11,3.86
Periode 2, Jati ,Organik (KMnO4),(mg/L),19.28,3.86
Periode 2, Jati ,Suhu,(Celcius),23.7,3.86
Periode 2, Jati ,Bakteri Koli,(Jlm/100mL),400,3.86
Periode 2, Kayu Putih ,Zat Padat Terlarut,(mg/L),1170,2.76
Periode 2, Kayu Putih ,Kekeruhan,NTU,7.9,2.76
Periode 2, Kayu Putih ,Besi (Fe),(mg/L),0.08,2.76
Periode 2, Kayu Putih ,Fluorida,(mg/L),0.54,2.76
Periode 2, Kayu Putih ,Total Hardness,(mg/L),172.28,2.76
Periode 2, Kayu Putih ,Chlorida,(mg/L),526.89,2.76
Periode 2, Kayu Putih ,Mangan (Mn),(mg/L),0.05,2.76
Periode 2, Kayu Putih ,Nitrat,(mg/L),2.79,2.76
Periode 2, Kayu Putih ,Nitrit,(mg/L),0.011,2.76
Periode 2, Kayu Putih ,Ph,(mg/L),8.3,2.76
Periode 2, Kayu Putih ,Seng (Zn),(mg/L),0.01,2.76
Periode 2, Kayu Putih ,Sulfat,(mg/L),15.96,2.76
Periode 2, Kayu Putih ,Senyawa Aktif Biru Metilen,(mg/L),0.08,2.76
Periode 2, Kayu Putih ,Organik (KMnO4),(mg/L),4.02,2.76
Periode 2, Kayu Putih ,Suhu,(Celcius),23.8,2.76
Periode 2, Kayu Putih ,Bakteri Koli,(Jlm/100mL),2100,2.76
Periode 2, Pisangan Timur ,Zat Padat Terlarut,(mg/L),340,3.41
Periode 2, Pisangan Timur ,Kekeruhan,NTU,9.96,3.41
Periode 2, Pisangan Timur ,Besi (Fe),(mg/L),0.08,3.41
Periode 2, Pisangan Timur ,Fluorida,(mg/L),0.41,3.41
Periode 2, Pisangan Timur ,Total Hardness,(mg/L),111.67,3.41
Periode 2, Pisangan Timur ,Chlorida,(mg/L),30.32,3.41
Periode 2, Pisangan Timur ,Mangan (Mn),(mg/L),0.05,3.41
Periode 2, Pisangan Timur ,Nitrat,(mg/L),0.24,3.41
Periode 2, Pisangan Timur ,Nitrit,(mg/L),0.032,3.41
Periode 2, Pisangan Timur ,Ph,(mg/L),8,3.41
Periode 2, Pisangan Timur ,Seng (Zn),(mg/L),0.01,3.41
Periode 2, Pisangan Timur ,Sulfat,(mg/L),24.86,3.41
Periode 2, Pisangan Timur ,Senyawa Aktif Biru Metilen,(mg/L),0.06,3.41
Periode 2, Pisangan Timur ,Organik (KMnO4),(mg/L),15.06,3.41
Periode 2, Pisangan Timur ,Suhu,(Celcius),23.5,3.41
Periode 2, Pisangan Timur ,Bakteri Koli,(Jlm/100mL),6.2 x 107,3.41
Periode 2, SDN Pulogadung ,Zat Padat Terlarut,(mg/L),3930,6.34
Periode 2, SDN Pulogadung ,Kekeruhan,NTU,0.85,6.34
Periode 2, SDN Pulogadung ,Besi (Fe),(mg/L),0.08,6.34
Periode 2, SDN Pulogadung ,Fluorida,(mg/L),0.69,6.34
Periode 2, SDN Pulogadung ,Total Hardness,(mg/L),101.5,6.34
Periode 2, SDN Pulogadung ,Chlorida,(mg/L),1009.03,6.34
Periode 2, SDN Pulogadung ,Mangan (Mn),(mg/L),0.1,6.34
Periode 2, SDN Pulogadung ,Nitrat,(mg/L),2.92,6.34
Periode 2, SDN Pulogadung ,Nitrit,(mg/L),0.031,6.34
Periode 2, SDN Pulogadung ,Ph,(mg/L),7.9,6.34
Periode 2, SDN Pulogadung ,Seng (Zn),(mg/L),0.01,6.34
Periode 2, SDN Pulogadung ,Sulfat,(mg/L),118.03,6.34
Periode 2, SDN Pulogadung ,Senyawa Aktif Biru Metilen,(mg/L),0.06,6.34
Periode 2, SDN Pulogadung ,Organik (KMnO4),(mg/L),15.82,6.34
Periode 2, SDN Pulogadung ,Suhu,(Celcius),23.5,6.34
Periode 2, SDN Pulogadung ,Bakteri Koli,(Jlm/100mL),4.5 x 107,6.34
Periode 2, 209 Pulogadung ,Zat Padat Terlarut,(mg/L),2290,3.28
Periode 2, 209 Pulogadung ,Kekeruhan,NTU,3.8,3.28
Periode 2, 209 Pulogadung ,Besi (Fe),(mg/L),0.09,3.28
Periode 2, 209 Pulogadung ,Fluorida,(mg/L),0.28,3.28
Periode 2, 209 Pulogadung ,Total Hardness,(mg/L),87.74,3.28
Periode 2, 209 Pulogadung ,Chlorida,(mg/L),116.81,3.28
Periode 2, 209 Pulogadung ,Mangan (Mn),(mg/L),0.05,3.28
Periode 2, 209 Pulogadung ,Nitrat,(mg/L),2.35,3.28
Periode 2, 209 Pulogadung ,Nitrit,(mg/L),0.262,3.28
Periode 2, 209 Pulogadung ,Ph,(mg/L),8.3,3.28
Periode 2, 209 Pulogadung ,Seng (Zn),(mg/L),0.02,3.28
Periode 2, 209 Pulogadung ,Sulfat,(mg/L),45.69,3.28
Periode 2, 209 Pulogadung ,Senyawa Aktif Biru Metilen,(mg/L),0.2,3.28
Periode 2, 209 Pulogadung ,Organik (KMnO4),(mg/L),2.84,3.28
Periode 2, 209 Pulogadung ,Suhu,(Celcius),23.6,3.28
Periode 2, 209 Pulogadung ,Bakteri Koli,(Jlm/100mL),700,3.28
Periode 2, Rwamangun ,Zat Padat Terlarut,(mg/L),1350,3.61
Periode 2, Rwamangun ,Kekeruhan,NTU,12.7,3.61
Periode 2, Rwamangun ,Besi (Fe),(mg/L),0.11,3.61
Periode 2, Rwamangun ,Fluorida,(mg/L),0.58,3.61
Periode 2, Rwamangun ,Total Hardness,(mg/L),116.45,3.61
Periode 2, Rwamangun ,Chlorida,(mg/L),253,3.61
Periode 2, Rwamangun ,Mangan (Mn),(mg/L),0.26,3.61
Periode 2, Rwamangun ,Nitrat,(mg/L),0.01,3.61
Periode 2, Rwamangun ,Nitrit,(mg/L),0.014,3.61
Periode 2, Rwamangun ,Ph,(mg/L),8.3,3.61
Periode 2, Rwamangun ,Seng (Zn),(mg/L),0.01,3.61
Periode 2, Rwamangun ,Sulfat,(mg/L),4.98,3.61
Periode 2, Rwamangun ,Senyawa Aktif Biru Metilen,(mg/L),1.19,3.61
Periode 2, Rwamangun ,Organik (KMnO4),(mg/L),8.1,3.61
Periode 2, Rwamangun ,Suhu,(Celcius),24.2,3.61
Periode 2, Rwamangun ,Bakteri Koli,(Jlm/100mL),1200,3.61
Periode 2, Jatinegara Kaum ,Zat Padat Terlarut,(mg/L),721,1.36
Periode 2, Jatinegara Kaum ,Kekeruhan,NTU,0.1,1.36
Periode 2, Jatinegara Kaum ,Besi (Fe),(mg/L),0.08,1.36
Periode 2, Jatinegara Kaum ,Fluorida,(mg/L),0.83,1.36
Periode 2, Jatinegara Kaum ,Total Hardness,(mg/L),74.38,1.36
Periode 2, Jatinegara Kaum ,Chlorida,(mg/L),74.06,1.36
Periode 2, Jatinegara Kaum ,Mangan (Mn),(mg/L),0.05,1.36
Periode 2, Jatinegara Kaum ,Nitrat,(mg/L),0.09,1.36
Periode 2, Jatinegara Kaum ,Nitrit,(mg/L),0.015,1.36
Periode 2, Jatinegara Kaum ,Ph,(mg/L),8.3,1.36
Periode 2, Jatinegara Kaum ,Seng (Zn),(mg/L),0.01,1.36
Periode 2, Jatinegara Kaum ,Sulfat,(mg/L),9.99,1.36
Periode 2, Jatinegara Kaum ,Senyawa Aktif Biru Metilen,(mg/L),0.06,1.36
Periode 2, Jatinegara Kaum ,Organik (KMnO4),(mg/L),0.44,1.36
Periode 2, Jatinegara Kaum ,Suhu,(Celcius),24,1.36
Periode 2, Jatinegara Kaum ,Bakteri Koli,(Jlm/100mL),0,1.36
Periode 2, Bidaracina ,Zat Padat Terlarut,(mg/L),1004,2.52
Periode 2, Bidaracina ,Kekeruhan,NTU,0.02,2.52
Periode 2, Bidaracina ,Besi (Fe),(mg/L),0.08,2.52
Periode 2, Bidaracina ,Fluorida,(mg/L),0.62,2.52
Periode 2, Bidaracina ,Total Hardness,(mg/L),114.66,2.52
Periode 2, Bidaracina ,Chlorida,(mg/L),119.29,2.52
Periode 2, Bidaracina ,Mangan (Mn),(mg/L),0.27,2.52
Periode 2, Bidaracina ,Nitrat,(mg/L),0,2.52
Periode 2, Bidaracina ,Nitrit,(mg/L),0.015,2.52
Periode 2, Bidaracina ,Ph,(mg/L),8.3,2.52
Periode 2, Bidaracina ,Seng (Zn),(mg/L),0.01,2.52
Periode 2, Bidaracina ,Sulfat,(mg/L),54.31,2.52
Periode 2, Bidaracina ,Senyawa Aktif Biru Metilen,(mg/L),0.07,2.52
Periode 2, Bidaracina ,Organik (KMnO4),(mg/L),4.38,2.52
Periode 2, Bidaracina ,Suhu,(Celcius),23.7,2.52
Periode 2, Bidaracina ,Bakteri Koli,(Jlm/100mL),1000,2.52
Periode 2, Cipinang Besar Utara ,Zat Padat Terlarut,(mg/L),2710,5.11
Periode 2, Cipinang Besar Utara ,Kekeruhan,NTU,9.5,5.11
Periode 2, Cipinang Besar Utara ,Besi (Fe),(mg/L),0.08,5.11
Periode 2, Cipinang Besar Utara ,Fluorida,(mg/L),0.82,5.11
Periode 2, Cipinang Besar Utara ,Total Hardness,(mg/L),154.34,5.11
Periode 2, Cipinang Besar Utara ,Chlorida,(mg/L),438.41,5.11
Periode 2, Cipinang Besar Utara ,Mangan (Mn),(mg/L),0.19,5.11
Periode 2, Cipinang Besar Utara ,Nitrat,(mg/L),0.01,5.11
Periode 2, Cipinang Besar Utara ,Nitrit,(mg/L),0.022,5.11
Periode 2, Cipinang Besar Utara ,Ph,(mg/L),8.4,5.11
Periode 2, Cipinang Besar Utara ,Seng (Zn),(mg/L),0.01,5.11
Periode 2, Cipinang Besar Utara ,Sulfat,(mg/L),29.78,5.11
Periode 2, Cipinang Besar Utara ,Senyawa Aktif Biru Metilen,(mg/L),0.44,5.11
Periode 2, Cipinang Besar Utara ,Organik (KMnO4),(mg/L),11.64,5.11
Periode 2, Cipinang Besar Utara ,Suhu,(Celcius),23.6,5.11
Periode 2, Cipinang Besar Utara ,Bakteri Koli,(Jlm/100mL),5200,5.11
Periode 2, Cipinang Muara ,Zat Padat Terlarut,(mg/L),1061,4.50
Periode 2, Cipinang Muara ,Kekeruhan,NTU,1.5,4.50
Periode 2, Cipinang Muara ,Besi (Fe),(mg/L),0.31,4.50
Periode 2, Cipinang Muara ,Fluorida,(mg/L),1.33,4.50
Periode 2, Cipinang Muara ,Total Hardness,(mg/L),133.8,4.50
Periode 2, Cipinang Muara ,Chlorida,(mg/L),350.43,4.50
Periode 2, Cipinang Muara ,Mangan (Mn),(mg/L),1.13,4.50
Periode 2, Cipinang Muara ,Nitrat,(mg/L),0.26,4.50
Periode 2, Cipinang Muara ,Nitrit,(mg/L),0.003,4.50
Periode 2, Cipinang Muara ,Ph,(mg/L),8.3,4.50
Periode 2, Cipinang Muara ,Seng (Zn),(mg/L),1.13,4.50
Periode 2, Cipinang Muara ,Sulfat,(mg/L),52.27,4.50
Periode 2, Cipinang Muara ,Senyawa Aktif Biru Metilen,(mg/L),0.26,4.50
Periode 2, Cipinang Muara ,Organik (KMnO4),(mg/L),7.41,4.50
Periode 2, Cipinang Muara ,Suhu,(Celcius),23.9,4.50
Periode 2, Cipinang Muara ,Bakteri Koli,(Jlm/100mL),2400,4.50
Periode 2, Balimaster ,Zat Padat Terlarut,(mg/L),454,7.05
Periode 2, Balimaster ,Kekeruhan,NTU,13.3,7.05
Periode 2, Balimaster ,Besi (Fe),(mg/L),0.08,7.05
Periode 2, Balimaster ,Fluorida,(mg/L),0.87,7.05
Periode 2, Balimaster ,Total Hardness,(mg/L),98.9,7.05
Periode 2, Balimaster ,Chlorida,(mg/L),63.13,7.05
Periode 2, Balimaster ,Mangan (Mn),(mg/L),0.98,7.05
Periode 2, Balimaster ,Nitrat,(mg/L),0.14,7.05
Periode 2, Balimaster ,Nitrit,(mg/L),0.006,7.05
Periode 2, Balimaster ,Ph,(mg/L),8.2,7.05
Periode 2, Balimaster ,Seng (Zn),(mg/L),0.02,7.05
Periode 2, Balimaster ,Sulfat,(mg/L),10.86,7.05
Periode 2, Balimaster ,Senyawa Aktif Biru Metilen,(mg/L),0.06,7.05
Periode 2, Balimaster ,Organik (KMnO4),(mg/L),30.82,7.05
Periode 2, Balimaster ,Suhu,(Celcius),23.1,7.05
Periode 2, Balimaster ,Bakteri Koli,(Jlm/100mL),1.48 x 104,7.05
Periode 2, Cipinang Besar Selatan ,Zat Padat Terlarut,(mg/L),2190,4.43
Periode 2, Cipinang Besar Selatan ,Kekeruhan,NTU,3.7,4.43
Periode 2, Cipinang Besar Selatan ,Besi (Fe),(mg/L),0.08,4.43
Periode 2, Cipinang Besar Selatan ,Fluorida,(mg/L),0.77,4.43
Periode 2, Cipinang Besar Selatan ,Total Hardness,(mg/L),289.8,4.43
Periode 2, Cipinang Besar Selatan ,Chlorida,(mg/L),983.95,4.43
Periode 2, Cipinang Besar Selatan ,Mangan (Mn),(mg/L),0.05,4.43
Periode 2, Cipinang Besar Selatan ,Nitrat,(mg/L),0.22,4.43
Periode 2, Cipinang Besar Selatan ,Nitrit,(mg/L),0.018,4.43
Periode 2, Cipinang Besar Selatan ,Ph,(mg/L),8.3,4.43
Periode 2, Cipinang Besar Selatan ,Seng (Zn),(mg/L),0.01,4.43
Periode 2, Cipinang Besar Selatan ,Sulfat,(mg/L),65.54,4.43
Periode 2, Cipinang Besar Selatan ,Senyawa Aktif Biru Metilen,(mg/L),0.06,4.43
Periode 2, Cipinang Besar Selatan ,Organik (KMnO4),(mg/L),14.4,4.43
Periode 2, Cipinang Besar Selatan ,Suhu,(Celcius),23,4.43
Periode 2, Cipinang Besar Selatan ,Bakteri Koli,(Jlm/100mL),5.4 x 103,4.43
Periode 2, Cipinang Cempedak ,Zat Padat Terlarut,(mg/L),435,1.78
Periode 2, Cipinang Cempedak ,Kekeruhan,NTU,0.02,1.78
Periode 2, Cipinang Cempedak ,Besi (Fe),(mg/L),0.08,1.78
Periode 2, Cipinang Cempedak ,Fluorida,(mg/L),0.44,1.78
Periode 2, Cipinang Cempedak ,Total Hardness,(mg/L),103.06,1.78
Periode 2, Cipinang Cempedak ,Chlorida,(mg/L),132.34,1.78
Periode 2, Cipinang Cempedak ,Mangan (Mn),(mg/L),0.07,1.78
Periode 2, Cipinang Cempedak ,Nitrat,(mg/L),0.54,1.78
Periode 2, Cipinang Cempedak ,Nitrit,(mg/L),0.017,1.78
Periode 2, Cipinang Cempedak ,Ph,(mg/L),8.2,1.78
Periode 2, Cipinang Cempedak ,Seng (Zn),(mg/L),0.01,1.78
Periode 2, Cipinang Cempedak ,Sulfat,(mg/L),12.74,1.78
Periode 2, Cipinang Cempedak ,Senyawa Aktif Biru Metilen,(mg/L),0.04,1.78
Periode 2, Cipinang Cempedak ,Organik (KMnO4),(mg/L),5.09,1.78
Periode 2, Cipinang Cempedak ,Suhu,(Celcius),23.9,1.78
Periode 2, Cipinang Cempedak ,Bakteri Koli,(Jlm/100mL),1.05 x 104,1.78
Periode 2, Kampung Melayu ,Zat Padat Terlarut,(mg/L),453,3.88
Periode 2, Kampung Melayu ,Kekeruhan,NTU,0.02,3.88
Periode 2, Kampung Melayu ,Besi (Fe),(mg/L),0.08,3.88
Periode 2, Kampung Melayu ,Fluorida,(mg/L),0.49,3.88
Periode 2, Kampung Melayu ,Total Hardness,(mg/L),178.16,3.88
Periode 2, Kampung Melayu ,Chlorida,(mg/L),63.46,3.88
Periode 2, Kampung Melayu ,Mangan (Mn),(mg/L),1.63,3.88
Periode 2, Kampung Melayu ,Nitrat,(mg/L),0,3.88
Periode 2, Kampung Melayu ,Nitrit,(mg/L),0.011,3.88
Periode 2, Kampung Melayu ,Ph,(mg/L),8.3,3.88
Periode 2, Kampung Melayu ,Seng (Zn),(mg/L),0.01,3.88
Periode 2, Kampung Melayu ,Sulfat,(mg/L),10.55,3.88
Periode 2, Kampung Melayu ,Senyawa Aktif Biru Metilen,(mg/L),0.14,3.88
Periode 2, Kampung Melayu ,Organik (KMnO4),(mg/L),2.83,3.88
Periode 2, Kampung Melayu ,Suhu,(Celcius),23.7,3.88
Periode 2, Kampung Melayu ,Bakteri Koli,(Jlm/100mL),6.6 x 103,3.88
Periode 2, Rawa Bunga ,Zat Padat Terlarut,(mg/L),2110,6.17
Periode 2, Rawa Bunga ,Kekeruhan,NTU,28.3,6.17
Periode 2, Rawa Bunga ,Besi (Fe),(mg/L),0.1,6.17
Periode 2, Rawa Bunga ,Fluorida,(mg/L),0.33,6.17
Periode 2, Rawa Bunga ,Total Hardness,(mg/L),425.51,6.17
Periode 2, Rawa Bunga ,Chlorida,(mg/L),909.17,6.17
Periode 2, Rawa Bunga ,Mangan (Mn),(mg/L),1.32,6.17
Periode 2, Rawa Bunga ,Nitrat,(mg/L),0.08,6.17
Periode 2, Rawa Bunga ,Nitrit,(mg/L),0.035,6.17
Periode 2, Rawa Bunga ,Ph,(mg/L),8,6.17
Periode 2, Rawa Bunga ,Seng (Zn),(mg/L),0.01,6.17
Periode 2, Rawa Bunga ,Sulfat,(mg/L),58.52,6.17
Periode 2, Rawa Bunga ,Senyawa Aktif Biru Metilen,(mg/L),0.05,6.17
Periode 2, Rawa Bunga ,Organik (KMnO4),(mg/L),11.07,6.17
Periode 2, Rawa Bunga ,Suhu,(Celcius),23.3,6.17
Periode 2, Rawa Bunga ,Bakteri Koli,(Jlm/100mL),2500,6.17
Periode 2, Kramat Jati ,Zat Padat Terlarut,(mg/L),607,4.24
Periode 2, Kramat Jati ,Kekeruhan,NTU,5.2,4.24
Periode 2, Kramat Jati ,Besi (Fe),(mg/L),0.08,4.24
Periode 2, Kramat Jati ,Fluorida,(mg/L),0.56,4.24
Periode 2, Kramat Jati ,Total Hardness,(mg/L),171.02,4.24
Periode 2, Kramat Jati ,Chlorida,(mg/L),111.68,4.24
Periode 2, Kramat Jati ,Mangan (Mn),(mg/L),0.63,4.24
Periode 2, Kramat Jati ,Nitrat,(mg/L),1.9,4.24
Periode 2, Kramat Jati ,Nitrit,(mg/L),0.338,4.24
Periode 2, Kramat Jati ,Ph,(mg/L),8.1,4.24
Periode 2, Kramat Jati ,Seng (Zn),(mg/L),0.01,4.24
Periode 2, Kramat Jati ,Sulfat,(mg/L),16.38,4.24
Periode 2, Kramat Jati ,Senyawa Aktif Biru Metilen,(mg/L),0.05,4.24
Periode 2, Kramat Jati ,Organik (KMnO4),(mg/L),9.15,4.24
Periode 2, Kramat Jati ,Suhu,(Celcius),23.1,4.24
Periode 2, Kramat Jati ,Bakteri Koli,(Jlm/100mL),1800,4.24
Periode 2, Bale Kambang ,Zat Padat Terlarut,(mg/L),2100,4.95
Periode 2, Bale Kambang ,Kekeruhan,NTU,4.8,4.95
Periode 2, Bale Kambang ,Besi (Fe),(mg/L),0.08,4.95
Periode 2, Bale Kambang ,Fluorida,(mg/L),0.79,4.95
Periode 2, Bale Kambang ,Total Hardness,(mg/L),178.37,4.95
Periode 2, Bale Kambang ,Chlorida,(mg/L),841.27,4.95
Periode 2, Bale Kambang ,Mangan (Mn),(mg/L),0.05,4.95
Periode 2, Bale Kambang ,Nitrat,(mg/L),0.29,4.95
Periode 2, Bale Kambang ,Nitrit,(mg/L),0.03,4.95
Periode 2, Bale Kambang ,Ph,(mg/L),8.4,4.95
Periode 2, Bale Kambang ,Seng (Zn),(mg/L),0.01,4.95
Periode 2, Bale Kambang ,Sulfat,(mg/L),14.18,4.95
Periode 2, Bale Kambang ,Senyawa Aktif Biru Metilen,(mg/L),0.15,4.95
Periode 2, Bale Kambang ,Organik (KMnO4),(mg/L),15.56,4.95
Periode 2, Bale Kambang ,Suhu,(Celcius),23,4.95
Periode 2, Bale Kambang ,Bakteri Koli,(Jlm/100mL),5.2 x 103,4.95
Periode 2, Kelurahan Tengah ,Zat Padat Terlarut,(mg/L),1400,3.30
Periode 2, Kelurahan Tengah ,Kekeruhan,NTU,1,3.30
Periode 2, Kelurahan Tengah ,Besi (Fe),(mg/L),0.08,3.30
Periode 2, Kelurahan Tengah ,Fluorida,(mg/L),0.54,3.30
Periode 2, Kelurahan Tengah ,Total Hardness,(mg/L),266.53,3.30
Periode 2, Kelurahan Tengah ,Chlorida,(mg/L),479.67,3.30
Periode 2, Kelurahan Tengah ,Mangan (Mn),(mg/L),0.05,3.30
Periode 2, Kelurahan Tengah ,Nitrat,(mg/L),0.03,3.30
Periode 2, Kelurahan Tengah ,Nitrit,(mg/L),0.007,3.30
Periode 2, Kelurahan Tengah ,Ph,(mg/L),8.2,3.30
Periode 2, Kelurahan Tengah ,Seng (Zn),(mg/L),0.01,3.30
Periode 2, Kelurahan Tengah ,Sulfat,(mg/L),12.27,3.30
Periode 2, Kelurahan Tengah ,Senyawa Aktif Biru Metilen,(mg/L),0.08,3.30
Periode 2, Kelurahan Tengah ,Organik (KMnO4),(mg/L),7.58,3.30
Periode 2, Kelurahan Tengah ,Suhu,(Celcius),23.9,3.30
Periode 2, Kelurahan Tengah ,Bakteri Koli,(Jlm/100mL),3 x 109,3.30
Periode 2, Batu Ampar ,Zat Padat Terlarut,(mg/L),1900,4.01
Periode 2, Batu Ampar ,Kekeruhan,NTU,0.7,4.01
Periode 2, Batu Ampar ,Besi (Fe),(mg/L),0.08,4.01
Periode 2, Batu Ampar ,Fluorida,(mg/L),0.42,4.01
Periode 2, Batu Ampar ,Total Hardness,(mg/L),145.92,4.01
Periode 2, Batu Ampar ,Chlorida,(mg/L),646.95,4.01
Periode 2, Batu Ampar ,Mangan (Mn),(mg/L),0.05,4.01
Periode 2, Batu Ampar ,Nitrat,(mg/L),1.61,4.01
Periode 2, Batu Ampar ,Nitrit,(mg/L),0.015,4.01
Periode 2, Batu Ampar ,Ph,(mg/L),8.3,4.01
Periode 2, Batu Ampar ,Seng (Zn),(mg/L),0.01,4.01
Periode 2, Batu Ampar ,Sulfat,(mg/L),14.61,4.01
Periode 2, Batu Ampar ,Senyawa Aktif Biru Metilen,(mg/L),0.18,4.01
Periode 2, Batu Ampar ,Organik (KMnO4),(mg/L),12.14,4.01
Periode 2, Batu Ampar ,Suhu,(Celcius),23.8,4.01
Periode 2, Batu Ampar ,Bakteri Koli,(Jlm/100mL),100,4.01
Periode 2, Cililitan ,Zat Padat Terlarut,(mg/L),1720,3.66
